loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_top1_accuracy,eval_mrr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4175867260801303,157.36184692382812,1.9455462184873953e-05,0.24986765484383272,413,,,,,,,,,,,
,,,0.24986765484383272,413,0.059820570051670074,0.9830598200105876,0.9911181695194399,267.0404,21.222,2.655,,,,,
0.9924261725843674,4.545694828033447,1.6678991596638657e-05,0.49973530968766544,826,,,,,,,,,,,
,,,0.49973530968766544,826,0.05099091678857803,0.984647961884595,0.9920592906299629,266.8118,21.24,2.657,,,,,
0.8925138385763468,248.84219360351562,1.3902521008403362e-05,0.7496029645314981,1239,,,,,,,,,,,
,,,0.7496029645314981,1239,0.04469096660614014,0.9876477854243868,0.9935444973825068,266.5172,21.263,2.66,,,,,
0.7389743610963984,0.010194720700383186,1.112605042016807e-05,0.9994706193753309,1652,,,,,,,,,,,
,,,0.9994706193753309,1652,0.061335012316703796,0.9853538027174872,0.9923092759249457,266.6548,21.252,2.659,,,,,
0.38661552225995005,1.3044325113296509,8.349579831932774e-06,1.2492626484156395,2065,,,,,,,,,,,
,,,1.2492626484156395,2065,0.0685073509812355,0.988706546673725,0.9940150579377683,266.8989,21.233,2.656,,,,,
,,,1.2492626484156395,2065,,,,,,,7468.929,7.082,0.443,1.0355731933618656e+17,0.8856233241194386
