step,epoch,train_loss,eval_loss,eval_top1_accuracy,eval_mrr,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second
413,0.24986765484383272,1.4175867260801303,0.059820570051670074,0.9830598200105876,0.9911181695194399,1.9455462184873953e-05,267.0404,21.222,2.655
826,0.49973530968766544,0.9924261725843674,0.05099091678857803,0.984647961884595,0.9920592906299629,1.6678991596638657e-05,266.8118,21.24,2.657
1239,0.7496029645314981,0.8925138385763468,0.04469096660614014,0.9876477854243868,0.9935444973825068,1.3902521008403362e-05,266.5172,21.263,2.66
1652,0.9994706193753309,0.7389743610963984,0.061335012316703796,0.9853538027174872,0.9923092759249457,1.112605042016807e-05,266.6548,21.252,2.659
2065,1.2492626484156395,0.38661552225995005,0.0685073509812355,0.988706546673725,0.9940150579377683,8.349579831932774e-06,266.8989,21.233,2.656
