Metric,Baseline,Fine-tuned,Cải thiện
MRR@10,0.9540618058881691,0.9808498659742705,0.02678806008610135
NDCG@10,0.9628540907268573,0.9855603345264197,0.02270624379956232
Recall@1,0.9317098994176813,0.9662961002293983,0.03458620081171693
Recall@3,0.972825127933651,0.99594141521087,0.02311628727721904
Recall@5,0.9821775189694724,0.9985883183342157,0.016410799364743323
Recall@10,0.9895888477148403,0.9992941591671078,0.009705311452267495
Top1_Accuracy,0.9957318687136051,0.9978935062643374,0.002161637550732287
Top1_Precision,0.9317098994176813,0.9662961002293983,0.03458620081171693
Top1_Recall,0.9317098994176813,0.9662961002293983,0.03458620081171693
Top1_F1,0.9317098994176815,0.9662961002293983,0.034586200811716816
MeanRank,1.3305099700017646,1.062290453502735,0.26821951649902953
MedianRank,1.0,1.0,0.0
