step,epoch,train_loss,eval_loss,eval_mrr,eval_top1_accuracy,eval_recall_at_1,eval_recall_at_5,eval_ndcg_at_10,learning_rate
206,0.24931921331316187,0.07188970785479522,2.9948748255532887,0.9852380952380951,0.99840625,0.9745,0.9985,0.9889633144074758,1.9449294828744124e-05
412,0.49863842662632374,0.00350268141737262,2.987192320445227,0.9808375000000001,0.99796875,0.9675,0.9985,0.9855548281130286,1.6682337139019478e-05
618,0.7479576399394856,0.002426030656811103,2.9858280060783264,0.982275,0.99809375,0.9695,0.998,0.9866275224160486,1.391537944929483e-05
824,0.9972768532526475,0.003115973860314749,2.940627033748324,0.9837517857142857,0.99825,0.972,0.997,0.9877284074673176,1.1148421759570182e-05
