Metric,Baseline,Fine-tuned,Cải thiện
MRR@10,0.9574345766775623,0.9751476803885485,0.017713103710986222
NDCG@10,0.9661336321536579,0.9810068425098899,0.014873210356232014
Recall@1,0.9354155637903653,0.957826010234692,0.02241044644432677
Recall@3,0.9761778718898888,0.9918828304217399,0.015704958531851054
Recall@5,0.9848244220928181,0.9962943356273161,0.011469913534498
Recall@10,0.9925886712546321,0.9982353979177695,0.005646726663137369
Top1_Accuracy,0.9959634727368978,0.9973641256396683,0.0014006529027704717
Top1_Precision,0.9354155637903653,0.957826010234692,0.02241044644432677
Top1_Recall,0.9354155637903653,0.957826010234692,0.02241044644432677
Top1_F1,0.9354155637903653,0.957826010234692,0.02241044644432677
MeanRank,1.2710428798305982,1.0917593082759838,0.17928357155461438
MedianRank,1.0,1.0,0.0
