Metric,Baseline,Fine-tuned,Cải thiện,Diễn giải
MRR@10,0.8865421781911987,0.9603447696353995,0.07380259144420076,Cao hơn là tốt hơn
NDCG@10,0.9073406321680192,0.9697434336937115,0.06240280152569233,Cao hơn là tốt hơn
Recall@1,0.8397741309334745,0.9352391035821422,0.09546497264866771,Cao hơn là tốt hơn
Recall@3,0.9232398094229751,0.9835892006352568,0.06034939121228167,Cao hơn là tốt hơn
Recall@5,0.9477677783659785,0.9929415916710782,0.04517381330509973,Cao hơn là tốt hơn
Recall@10,0.9717663666843127,0.9978824775013234,0.026116110817010707,Cao hơn là tốt hơn
Top1_Accuracy,0.9899858831833421,0.9959524439738839,0.005966560790541808,Cao hơn là tốt hơn
Top1_Precision,0.8397741309334745,0.9352391035821422,0.09546497264866771,Cao hơn là tốt hơn
Top1_Recall,0.8397741309334745,0.9352391035821422,0.09546497264866771,Cao hơn là tốt hơn
Top1_F1,0.8397741309334745,0.9352391035821422,0.09546497264866771,Cao hơn là tốt hơn
MeanRank,1.842244573848597,1.154755602611611,0.687488971236986,Thấp hơn là tốt hơn
MedianRank,1.0,1.0,0.0,Thấp hơn là tốt hơn
