step,epoch,train_loss,eval_loss,eval_mrr,eval_top1_accuracy,eval_recall_at_1,eval_recall_at_5,eval_ndcg_at_10,learning_rate
206,0.24931921331316187,0.009741533258296912,2.9727564841981917,0.9825464285714286,0.99821875,0.9715,0.9955,0.9866538169062724,1.9449294828744124e-05
412,0.49863842662632374,0.002915642793896129,2.9609183054121715,0.9838333333333333,0.99825,0.972,0.9975,0.9878152913733613,1.6682337139019478e-05
618,0.7479576399394856,0.0025228703918966275,2.9369992490798706,0.9831011904761904,0.99815625,0.9705,0.998,0.9872760468354266,1.391537944929483e-05
824,0.9972768532526475,0.004679292060651825,2.9280858002011736,0.9843242063492064,0.9983125,0.973,0.9975,0.9882739392195931,1.1148421759570182e-05
827,1.0,0.00012811356120639376,2.927269500399393,0.9847408730158731,0.99834375,0.9735,0.9975,0.9885894040963789,1.1108126259234387e-05
1030,1.2456883509833585,0.0018037116990007203,2.9143533971574573,0.9865339285714285,0.99853125,0.9765,0.9985,0.9899379105370524,8.381464069845535e-06
1236,1.4950075642965204,0.001974456120752594,2.906085903682406,0.9855964285714285,0.9984375,0.975,0.9985,0.989118729000986,5.614506380120887e-06
1442,1.7443267776096822,0.0014228645567465755,2.9071899444337874,0.9889297619047618,0.99878125,0.9805,0.999,0.9917336568705534,2.847548690396239e-06
1648,1.9936459909228441,0.0018289326825766887,2.9033117824130588,0.9899964285714286,0.998875,0.982,0.999,0.992540230466936,8.059100067159167e-08
1654,2.0,0.0008888940016428629,2.9033078201233393,0.9899964285714286,0.998875,0.982,0.999,0.992540230466936,0.0
