loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_top1_accuracy,eval_mrr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0398470160458912,251.07467651367188,1.9455462184873953e-05,0.24986765484383272,413,,,,,,,,,,,
,,,0.24986765484383272,413,0.044133272022008896,0.9858831833421563,0.9926621963413917,270.8369,20.924,2.618,,,,,
0.8754436502156477,27.858959197998047,1.6678991596638657e-05,0.49973530968766544,826,,,,,,,,,,,
,,,0.49973530968766544,826,0.044784653931856155,0.9867654843832716,0.9930592318098934,271.1183,20.902,2.615,,,,,
0.7735217373827179,195.88333129882812,1.3902521008403362e-05,0.7496029645314981,1239,,,,,,,,,,,
,,,0.7496029645314981,1239,0.04330575838685036,0.9876477854243868,0.9935739074172107,270.8207,20.925,2.618,,,,,
0.6550870068714059,0.07631834596395493,1.112605042016807e-05,0.9994706193753309,1652,,,,,,,,,,,
,,,0.9994706193753309,1652,0.04248293116688728,0.9876477854243868,0.993676842538674,270.8348,20.924,2.618,,,,,
0.3762524399284012,1.9020072221755981,8.349579831932774e-06,1.2492626484156395,2065,,,,,,,,,,,
,,,1.2492626484156395,2065,0.043033916503190994,0.9897653079230634,0.9947061937533086,270.863,20.922,2.618,,,,,
0.2801953886092142,0.5180586576461792,5.57310924369748e-06,1.499130303259472,2478,,,,,,,,,,,
,,,1.499130303259472,2478,0.05166158080101013,0.9894123875066173,0.9945738485971414,271.2927,20.889,2.613,,,,,
0.43965777011529583,269.5737609863281,2.796638655462185e-06,1.7489979581033048,2891,,,,,,,,,,,
,,,1.7489979581033048,2891,0.04238779470324516,0.9911769895888477,0.9955149697076644,271.16,20.899,2.615,,,,,
0.32038746388137485,9.676130294799805,2.016806722689076e-08,1.9988656129471376,3304,,,,,,,,,,,
,,,1.9988656129471376,3304,0.04296174645423889,0.9911769895888477,0.9955149697076644,271.0193,20.91,2.616,,,,,
,,,2.0,3306,0.04297097027301788,0.9910005293806247,0.9954267396035529,271.6275,20.863,2.61,,,,,
,,,2.0,3306,,,,,,,12355.6343,4.281,0.268,1.6563627577051245e+17,0.5947130439871741
