step,epoch,train_loss,eval_loss,eval_mrr,eval_top1_accuracy,eval_recall_at_1,eval_recall_at_5,eval_ndcg_at_10,learning_rate
413,0.24988655271517168,0.011570262923367665,3.0225343931288946,0.9650781746031746,0.996625,0.946,0.99,0.9729522659003179,1.9442204301075272e-05
826,0.49977310543034337,0.004031507338940664,2.98625886251056,0.967305357142857,0.996625,0.946,0.992,0.9753162356723708,1.6666666666666667e-05
1239,0.749659658145515,0.002684007852042847,2.987905472043961,0.9695829365079365,0.996875,0.95,0.9935,0.9769169771222369,1.3891129032258067e-05
1652,0.9995462108606867,0.0025996568344407163,2.997098794059148,0.9687136904761904,0.9966875,0.947,0.9945,0.976447787115716,1.1115591397849464e-05
1653,1.0,0.0010699729124704997,2.996312001394847,0.9684220238095238,0.99665625,0.9465,0.9945,0.9762324488366794,1.1108870967741936e-05
2065,1.2492815005294207,0.0009614267901888172,2.9578921492137606,0.9715990079365079,0.99709375,0.9535,0.994,0.9786492978502848,8.340053763440861e-06
2478,1.4991680532445923,0.0027052295590428406,2.9599099802592446,0.9696440476190475,0.9969375,0.951,0.9935,0.9771573197335048,5.564516129032258e-06
2891,1.749054605959764,0.0013231846704610036,2.9580386895982045,0.9748914682539682,0.9974375,0.959,0.995,0.9811221770127081,2.788978494623656e-06
3304,1.9989411586749357,0.0024229635013217786,2.956245263417562,0.9744162698412698,0.99734375,0.9575,0.995,0.9807959016356201,1.3440860215053765e-08
3306,2.0,0.003697080271584647,2.9562456115843756,0.9744162698412698,0.99734375,0.9575,0.995,0.9807959016356201,0.0
