Metric,Baseline,Fine-tuned,Cải thiện,Diễn giải
MRR@10,0.960009409550694,0.9798835848147776,0.019874175264083527,Cao hơn là tốt hơn
NDCG@10,0.9655379795228405,0.9845515587825241,0.01901357925968361,Cao hơn là tốt hơn
Recall@1,0.9463655610444601,0.9671841919548342,0.02081863091037406,Cao hơn là tốt hơn
Recall@3,0.9723006351446718,0.9922371206774877,0.019936485532815906,Cao hơn là tốt hơn
Recall@5,0.9775935074100212,0.9948835568101623,0.017290049400141116,Cao hơn là tốt hơn
Recall@10,0.9823570924488356,0.9985885673959068,0.016231474947071223,Cao hơn là tốt hơn
Top1_Accuracy,0.9966478475652788,0.9979490119971771,0.0013011644318983162,Cao hơn là tốt hơn
Top1_Precision,0.9463655610444601,0.9671841919548342,0.02081863091037406,Cao hơn là tốt hơn
Top1_Recall,0.9463655610444601,0.9671841919548342,0.02081863091037406,Cao hơn là tốt hơn
Top1_F1,0.9463655610444601,0.9671841919548342,0.02081863091037406,Cao hơn là tốt hơn
MeanRank,1.4763585038814397,1.092801693719125,0.3835568101623148,Thấp hơn là tốt hơn
MedianRank,1.0,1.0,0.0,Thấp hơn là tốt hơn
