step,epoch,train_loss,eval_loss,eval_top1_accuracy,eval_mrr,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second
413,0.24986765484383272,1.0950445955659807,0.06575807183980942,0.9818245985530263,0.9903240985824362,1.9455462184873953e-05,273.1864,20.744,2.595
826,0.49973530968766544,0.8337964665225862,0.04763675108551979,0.984647961884595,0.9920298805952591,1.6678991596638657e-05,273.1356,20.748,2.596
1239,0.7496029645314981,0.7828972102943402,0.04575011879205704,0.9878242456326098,0.9937356626080819,1.3902521008403362e-05,272.9198,20.764,2.598
1652,0.9994706193753309,0.7008529552247276,0.06472130119800568,0.9876477854243868,0.9935444973825068,1.112605042016807e-05,272.8422,20.77,2.599
2065,1.2492626484156395,0.370704706298237,0.05156758427619934,0.9895888477148403,0.9946032586318451,8.349579831932774e-06,272.3937,20.804,2.603
2478,1.499130303259472,0.24022903627113915,0.04726741462945938,0.9895888477148403,0.994647373683901,5.57310924369748e-06,272.3943,20.804,2.603
2891,1.7489979581033048,0.34679507054659126,0.050529614090919495,0.988353626257279,0.9939415328510088,2.796638655462185e-06,272.2094,20.819,2.605
