loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_top1_accuracy,eval_mrr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0950445955659807,338.740234375,1.9455462184873953e-05,0.24986765484383272,413,,,,,,,,,,,
,,,0.24986765484383272,413,0.06575807183980942,0.9818245985530263,0.9903240985824362,273.1864,20.744,2.595,,,,,
0.8337964665225862,13.562102317810059,1.6678991596638657e-05,0.49973530968766544,826,,,,,,,,,,,
,,,0.49973530968766544,826,0.04763675108551979,0.984647961884595,0.9920298805952591,273.1356,20.748,2.596,,,,,
0.7828972102943402,196.4119110107422,1.3902521008403362e-05,0.7496029645314981,1239,,,,,,,,,,,
,,,0.7496029645314981,1239,0.04575011879205704,0.9878242456326098,0.9937356626080819,272.9198,20.764,2.598,,,,,
0.7008529552247276,7.21030330657959,1.112605042016807e-05,0.9994706193753309,1652,,,,,,,,,,,
,,,0.9994706193753309,1652,0.06472130119800568,0.9876477854243868,0.9935444973825068,272.8422,20.77,2.599,,,,,
0.370704706298237,223.05821228027344,8.349579831932774e-06,1.2492626484156395,2065,,,,,,,,,,,
,,,1.2492626484156395,2065,0.05156758427619934,0.9895888477148403,0.9946032586318451,272.3937,20.804,2.603,,,,,
0.24022903627113915,1.771167278289795,5.57310924369748e-06,1.499130303259472,2478,,,,,,,,,,,
,,,1.499130303259472,2478,0.04726741462945938,0.9895888477148403,0.994647373683901,272.3943,20.804,2.603,,,,,
0.34679507054659126,298.35546875,2.796638655462185e-06,1.7489979581033048,2891,,,,,,,,,,,
,,,1.7489979581033048,2891,0.050529614090919495,0.988353626257279,0.9939415328510088,272.2094,20.819,2.605,,,,,
,,,1.7489979581033048,2891,,,,,,,10966.9656,4.823,0.301,1.448960386196516e+17,0.624331434389086
